timestamp	x	y	z	qw	qx	qy	qz
1762766184.287480	-42.873421	-23.127102	-1.817625	0.257645	0.002852	-0.001364	-0.966234
1762766184.487716	-43.529251	-22.952919	-1.811931	0.240049	-0.001982	-0.080045	-0.967453
1762766184.688427	-44.179100	-22.836199	-1.814259	0.223715	0.005707	-0.130617	-0.965846
1762766184.888435	-44.795567	-22.823147	-1.824321	0.211322	0.048328	-0.176122	-0.960202
1762766185.088681	-45.343174	-22.939623	-1.832394	0.197705	0.070810	-0.172439	-0.962374
1762766185.288943	-45.801292	-23.175097	-1.827860	0.182845	0.055340	-0.138331	-0.971787
1762766185.489533	-46.207787	-23.518288	-1.814912	0.169703	0.020712	-0.082247	-0.981839
1762766185.689675	-46.573032	-23.912226	-1.804482	0.158471	-0.016717	-0.014320	-0.987118
1762766185.889735	-46.947178	-24.318979	-1.803748	0.147164	-0.042791	0.046125	-0.987109
1762766186.090194	-47.362049	-24.703604	-1.808629	0.137266	-0.040211	0.052137	-0.988343
1762766186.290744	-47.805645	-25.046438	-1.815093	0.128643	-0.030955	0.040235	-0.990391
1762766186.490631	-48.283047	-25.364807	-1.823407	0.120254	-0.024518	0.032865	-0.991896
1762766186.691313	-48.773880	-25.654240	-1.833258	0.112124	-0.020907	0.030505	-0.993006
1762766186.891326	-49.297256	-25.929090	-1.844547	0.103799	-0.018564	0.029864	-0.993976
1762766187.091652	-49.820210	-26.173542	-1.855839	0.095730	-0.016722	0.029375	-0.994833
1762766187.292151	-50.356133	-26.396210	-1.866717	0.087642	-0.015119	0.028870	-0.995619
1762766187.492022	-50.911873	-26.600231	-1.876606	0.079408	-0.013727	0.028270	-0.996347
1762766187.692397	-51.486538	-26.784985	-1.884866	0.071023	-0.012390	0.027464	-0.997020
1762766187.893116	-52.044598	-26.941063	-1.890710	0.063005	-0.011233	0.026633	-0.997595
1762766188.092990	-52.636341	-27.083469	-1.894377	0.054613	-0.010058	0.025649	-0.998127
1762766188.293269	-53.217304	-27.201933	-1.895539	0.046463	-0.009015	0.024583	-0.998577
1762766188.494087	-53.812695	-27.303049	-1.894381	0.038181	-0.008157	0.023477	-0.998962
1762766188.694088	-54.412857	-27.385712	-1.891156	0.030127	-0.007378	0.022140	-0.999274
1762766188.894151	-55.007893	-27.450085	-1.886334	0.021678	-0.006547	0.020767	-0.999528
1762766189.094958	-55.605938	-27.498512	-1.880330	0.013406	-0.004794	0.019558	-0.999707
1762766189.294687	-56.214375	-27.532240	-1.873521	0.004333	0.002387	0.018932	-0.999809
1762766189.494886	-56.816063	-27.550669	-1.867422	0.011504	-0.046752	-0.022614	0.998584
1762766189.695182	-57.368164	-27.551743	-1.866508	0.061983	-0.119010	-0.026125	0.990612
1762766189.895509	-57.834385	-27.539780	-1.867134	0.169728	-0.143935	-0.015618	0.974798
1762766190.095793	-58.182747	-27.533930	-1.860644	0.321434	-0.119644	-0.016386	0.939200
1762766190.296535	-58.441399	-27.545036	-1.849289	0.499564	-0.087269	-0.032931	0.861240
1762766190.496288	-58.624828	-27.569366	-1.838427	0.660629	-0.059435	-0.038644	0.747358
1762766190.697300	-58.749657	-27.600782	-1.831038	0.762187	-0.030030	-0.040066	0.645418
1762766190.896969	-58.834785	-27.630854	-1.827162	0.817580	-0.020192	-0.048450	0.573417
1762766191.097444	-58.879330	-27.652805	-1.824708	0.845718	-0.019068	-0.050468	0.530895
1762766191.297530	-58.883030	-27.665758	-1.814273	0.858374	-0.011177	-0.037977	0.511494
1762766191.497723	-58.859642	-27.672346	-1.757363	0.862717	-0.005312	-0.027712	0.504900
1762766191.698097	-58.816673	-27.672472	-1.648206	0.862040	-0.004636	-0.022228	0.506332
1762766191.898319	-58.759941	-27.667206	-1.526994	0.858795	-0.002632	-0.016434	0.512048
1762766192.098572	-58.689697	-27.657070	-1.391883	0.854392	-0.002477	-0.012235	0.519479
1762766192.298947	-58.607128	-27.644150	-1.261283	0.850389	-0.014761	-0.015675	0.525713
1762766192.499440	-58.510056	-27.634569	-1.178895	0.848374	-0.010616	-0.009713	0.529202
1762766192.699754	-58.400951	-27.629843	-1.127896	0.848203	-0.015520	0.026149	0.528798
1762766192.899721	-58.305073	-27.648661	-1.091313	0.846360	-0.043457	0.090155	0.523124
1762766193.099974	-58.252094	-27.737438	-1.071015	0.843508	-0.067552	0.140524	0.513988
1762766193.301502	-58.265930	-27.926140	-1.055985	0.848928	-0.058923	0.130145	0.508834
1762766193.500617	-58.345882	-28.212851	-1.043810	0.855183	-0.043060	0.104818	0.505787
1762766193.701693	-58.482273	-28.574459	-1.040237	0.858582	-0.031994	0.085825	0.504427
1762766193.901244	-58.666119	-28.994398	-1.047891	0.859596	-0.025389	0.072778	0.505128
